YEAR,GOALS_1,GOALS_2
2014,7,1
2014,5,2
2014,5,1
2014,5,1
2014,4,1
2014,4,1
2014,4,1
2014,5,0
2014,4,0
2014,4,0
2014,3,1
2014,3,1
2014,3,1
2014,2,2
2014,4,0
2014,2,2
2014,4,0
2014,1,2
2014,3,0
2014,3,0
2014,3,0
2014,2,1
2014,2,1
2014,3,0
2014,0,3
2014,2,1
2014,3,0
2014,2,1
2014,3,0
2014,2,1
2014,3,0
2014,2,1
2014,3,0
2014,3,0
2014,2,1
2014,2,1
2014,3,0
2014,1,1
2014,2,0
2014,2,0
2014,2,0
2014,2,0
2014,2,0
2014,2,0
2014,2,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,0,1
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2010,1,1
2010,0,0
2010,2,0
2010,1,0
2010,1,1
2010,0,1
2010,0,1
2010,4,0
2010,2,0
2010,1,0
2010,1,1
2010,1,1
2010,0,0
2010,2,1
2010,0,1
2010,0,1
2010,0,3
2010,4,1
2010,2,1
2010,0,2
2010,0,1
2010,2,2
2010,0,0
2010,1,0
2010,1,1
2010,1,2
2010,0,2
2010,1,1
2010,3,1
2010,7,0
2010,1,0
2010,2,0
2010,1,0
2010,1,2
2010,2,2
2010,0,2
2010,0,1
2010,1,0
2010,0,1
2010,2,1
2010,3,2
2010,0,0
2010,1,3
2010,1,2
2010,0,0
2010,0,3
2010,1,2
2010,0,0
2010,2,1
2010,1,2
2010,4,1
2010,3,1
2010,2,1
2010,3,0
2010,0,0
2010,1,0
2010,2,1
2010,1,1
2010,0,4
2010,0,1
2010,2,3
2010,0,1
2010,2,3
2010,0,1
2006,4,2
2006,0,2
2006,1,0
2006,0,0
2006,2,1
2006,0,1
2006,3,1
2006,0,1
2006,3,1
2006,0,3
2006,2,0
2006,2,1
2006,0,0
2006,1,0
2006,4,0
2006,2,2
2006,1,0
2006,3,0
2006,2,0
2006,1,0
2006,6,0
2006,2,1
2006,0,0
2006,2,0
2006,0,2
2006,1,1
2006,0,0
2006,2,0
2006,1,1
2006,0,2
2006,0,4
2006,3,1
2006,0,3
2006,1,2
2006,2,2
2006,2,0
2006,1,1
2006,2,1
2006,0,0
2006,3,2
2006,0,2
2006,2,1
2006,1,4
2006,2,2
2006,1,0
2006,0,1
2006,0,2
2006,2,0
2006,2,0
2006,2,1
2006,1,0
2006,1,0
2006,1,0
2006,0,0
2006,3,0
2006,1,3
2006,1,1
2006,3,0
2006,0,0
2006,0,1
2006,0,2
2006,0,1
2006,3,1
2006,1,1
2002,0,1
2002,1,2
2002,1,1
2002,8,0
2002,1,0
2002,2,2
2002,1,1
2002,3,1
2002,2,1
2002,2,0
2002,0,1
2002,0,2
2002,2,2
2002,2,0
2002,2,0
2002,3,2
2002,1,1
2002,1,1
2002,1,0
2002,0,0
2002,2,1
2002,0,1
2002,3,1
2002,1,0
2002,4,0
2002,1,2
2002,1,1
2002,1,0
2002,2,1
2002,1,1
2002,4,0
2002,1,1
2002,2,0
2002,3,3
2002,0,3
2002,0,2
2002,1,1
2002,0,0
2002,1,3
2002,2,3
2002,2,5
2002,3,0
2002,1,0
2002,1,1
2002,0,2
2002,0,1
2002,3,1
2002,3,2
2002,0,3
2002,1,0
2002,1,1
2002,1,2
2002,2,0
2002,0,2
2002,0,1
2002,2,1
2002,1,2
2002,1,0
2002,0,1
2002,0,0
2002,1,0
2002,1,0
2002,2,3
2002,0,2
1998,2,1
1998,2,2
1998,2,2
1998,1,1
1998,0,0
1998,0,1
1998,3,0
1998,2,3
1998,1,3
1998,0,0
1998,1,0
1998,1,0
1998,1,3
1998,2,0
1998,1,0
1998,2,0
1998,1,1
1998,3,0
1998,1,1
1998,3,0
1998,1,1
1998,4,0
1998,1,0
1998,0,0
1998,0,1
1998,2,2
1998,5,0
1998,2,2
1998,5,0
1998,1,2
1998,1,0
1998,2,1
1998,2,1
1998,1,1
1998,0,3
1998,1,2
1998,2,1
1998,2,2
1998,6,1
1998,1,3
1998,1,1
1998,2,2
1998,2,0
1998,0,1
1998,1,2
1998,1,0
1998,1,1
1998,0,2
1998,1,0
1998,4,1
1998,1,0
1998,1,4
1998,2,1
1998,2,1
1998,0,1
1998,2,2
1998,0,0
1998,3,2
1998,2,1
1998,0,3
1998,1,1
1998,2,1
1998,1,2
1998,0,3
1994,2,2
1994,1,0
1994,1,1
1994,0,1
1994,1,3
1994,1,0
1994,1,0
1994,2,2
1994,2,1
1994,2,0
1994,4,0
1994,3,0
1994,1,1
1994,1,4
1994,2,1
1994,1,0
1994,0,0
1994,2,1
1994,3,1
1994,3,0
1994,1,0
1994,2,1
1994,2,1
1994,4,0
1994,0,1
1994,0,2
1994,3,2
1994,1,3
1994,0,0
1994,1,1
1994,1,1
1994,6,1
1994,1,2
1994,0,1
1994,0,2
1994,0,2
1994,3,2
1994,3,0
1994,1,3
1994,3,2
1994,2,0
1994,1,0
1994,1,2
1994,1,1
1994,2,1
1994,2,3
1994,2,1
1994,2,2
1994,1,2
1994,0,1
1994,4,0
1994,0,0
1990,0,1
1990,0,2
